id_elite,nbr_elite_years
1,8
2,7
3,3
4,11
5,3
6,10
7,2
8,9
9,4
10,4
11,8
12,6
13,5
14,9
15,9
16,2
17,3
18,3
19,3
20,2
21,4
22,1
23,1
24,4
25,4
26,8
27,7
28,8
29,3
30,2
31,2
32,2
33,6
34,1
35,2
36,3
37,11
38,5
39,9
40,8
41,3
42,7
43,4
44,6
45,12
46,3
47,5
48,6
49,3
50,3
51,4
52,5
53,6
54,2
55,1
56,1
57,2
58,1
59,3
60,4
61,1
62,9
63,3
64,3
65,10
66,9
67,7
68,10
69,4
70,10
71,4
72,6
73,3
74,1
75,6
76,4
77,6
78,6
79,6
80,2
81,6
82,8
83,12
84,9
85,7
86,10
87,3
88,8
89,1
90,10
91,4
92,2
93,5
94,4
95,6
96,3
97,3
98,3
99,3
100,4
101,2
102,1
103,3
104,4
105,4
106,2
107,3
108,11
109,3
110,4
111,6
112,7
113,1
114,9
115,2
116,8
117,2
118,3
119,5
120,8
121,2
122,1
123,2
124,5
125,5
126,1
127,1
128,3
129,4
130,1
131,2
132,3
133,3
134,4
135,3
136,3
137,2
138,3
139,7
140,5
141,5
142,3
143,1
144,4
145,3
146,3
147,2
148,3
149,4
150,2
151,1
152,7
153,6
154,10
155,8
156,4
157,8
158,8
159,7
160,6
161,7
162,5
163,9
164,6
165,5
166,1
167,6
168,7
169,5
170,6
171,3
172,1
173,4
174,6
175,4
176,3
177,7
178,2
179,1
180,5
181,4
182,7
183,2
184,10
185,2
186,3
187,3
188,5
189,9
190,11
191,1
192,10
193,10
194,2
195,3
196,2
197,3
198,3
199,2
200,2
201,2
202,6
203,5
204,3
205,4
206,5
207,8
208,7
209,6
210,2
211,2
212,3
213,3
214,2
215,2
216,3
217,3
218,4
219,3
220,1
221,5
222,1
223,7
224,6
225,4
226,5
227,4
228,6
229,3
230,7
231,4
232,4
233,11
234,9
235,12
236,3
237,6
238,6
239,7
240,6
241,2
242,3
243,2
244,3
245,2
246,3
247,3
248,3
249,3
250,3
251,3
252,4
253,3
254,4
255,3
256,3
257,2
258,1
259,3
260,3
261,3
262,2
263,8
264,1
265,2
266,5
267,5
268,5
269,3
270,3
271,3
272,4
273,1
274,1
275,2
276,1
277,1
278,2
279,1
280,9
281,1
282,1
283,1
284,1
285,1
286,1
287,3
288,2
289,3
290,4
291,3
292,2
293,3
294,3
295,6
296,2
297,6
298,4
299,2
300,6
301,6
302,4
303,2
304,1
305,1
306,5
307,8
308,6
309,7
310,2
311,7
312,7
313,8
314,6
315,8
316,10
317,11
318,2
319,3
320,2
321,3
322,3
323,1
324,2
325,3
326,3
327,3
328,3
329,2
330,6
331,6
332,7
