user_id,name,fans,id_review,id_elite,id_tip
--3was23lcixtxyfuljhta,Kristie,11,119761,1772,5
--kqjpdru0md97diolidzw,Steve,7,197049,10416,0
--w2d3o3y8dh2jn4-u28tw,Jessica,0,193982,0,0
-0-50z_lmp-vskncbh3fqw,Daniel,0,58791,0,0
-0012ekx22eeb2aiw_rkcq,Jake,0,372375,0,0
-00bkualxw9z6sb-b6sbla,Devon,0,98374,0,0
-0bfwbt3t0vk1jjpeaitcg,Patrick,0,222274,0,0
-0bpejgz18pzdz7nbogmhw,Michael,2,268878,0,0
-0iimazi2ssq7vmyzjjokq,Christine,181,52180,11433,20
-0j2jp2vfpegmzqjczacda,Alex,1,439027,0,0
-0mxmdis75oswmp8xlqkiw,Dawn,1,43263,0,22
-0qyvxa5v_45zdcmrg2hcw,John,1,340436,0,0
-0sqalqewminvftg_ihchg,Jim,80,148375,1312,0
-0u1fhfq9zl4aykafrkhfw,Tony,10,263540,7671,0
-0zsjztkdil8yobkoluzaa,PhilaPhan80,0,245468,0,0
-13i1dsvjfs_pkocye-cfq,Holly,0,414423,0,0
-1fi2doksmeu30qpfuqrsq,Nicholas,0,132432,0,0
-1fkd7pwccfykuuk9cdcca,Beth,0,293143,0,0
-1kwv5ws6tjdxrsmyimulg,Polly,7,271670,0,0
-1qmuwyvjsovnqmggfcgna,Carol,0,397482,0,0
-1se2xh3izvug3sip73jzw,Crystal,1,280130,2513,0
-1zr0gyc5sk1nxyiibunma,David,6,421197,9567,0
-26dzaddqkmbgp2zqazriq,Robby,1,7974,0,0
-2g5nxgbzh1pr4ueg4txyq,Emily,1,486067,0,0
-2ng4a1kucsyuqa-d-1yqq,Bill,0,148080,0,0
-32wtapjvtqrg59p6hgvyg,Allan,12,86145,8313,0
-34nv3a5a5gcl-s8uh4kba,Annie,53,262566,1178,81
-35jj1oiivezzsysj4bhcw,Poozle,0,372073,0,82
-3jffptq4uk2wzuckwvbng,Kara,1,68931,0,0
-3r0cx7nigcyunqkkzcmsq,Mark,5,327132,0,0
-3uzgjjtj4kf7wppcifurg,Frank,1,114353,0,0
-4olp_kjcfm9d96zp4op6g,Christy,0,313326,0,0
-4wn4qxrbd_z_tz-9qiulg,Bahar,1,293735,0,116
-59wadbkdefigvppr6bnvg,Alexander,0,101395,0,0
-5j5z3shrbdwxo9c2oowyq,A,0,268245,0,0
-5wo-nrs5_chnn9sp0mu7g,Casey,4,214061,0,142
-5x3pq0xrdzqnu1lhqpnpg,David,0,333272,0,0
-60pzep9xmwsnlg3f2zela,Cate,0,14708,0,0
-63dyc-xxdmxo1ebo-tjra,Joe,15,56236,3085,149
-6gyapoypvez737nxfngqw,Minaz,7,141167,15240,0
-6h7hsurppxdvzifljepxq,Chris,1,70227,17760,156
-6jtltozmqa1p4lpcewflg,Jon,2,197360,0,159
-6uyhvwalioi-fuee3mt1a,Callie,45,180687,17548,0
-7xrsrjfhndhc_taexurtw,Paul,7,152459,2187,190
-84gjtrgt_0rd-d8tkr7xw,Lindsey,6,104386,5702,0
-85ew5d-8sh6ohmiwdki2g,Tracy,0,260949,0,194
-8bu-jbbhghjojrfvdbvza,Todd,0,179202,0,0
-8mhdnlhkryxn4halbyzzw,Sheroy,0,247638,0,0
-8qzeixrxnoq6pnsu4yrjw,Thyme,1,21376,0,208
-8wj_2p67niafg5zgukcaq,David,0,289196,0,0
-8xychpalkdkljeh7eg75a,Bryan,0,102179,0,0
-9ey3xg4a0-vevqirxojsw,Judy,0,417579,0,0
-9h5bkbafmsfftqsoddznw,Amelia,0,486745,0,0
-9ifppqcgi6ggm4kub9-ra,foodiewithadrawl,5,81172,0,0
-9oims4je1bdd1fz7azafa,Eric,10,109561,12713,0
-9t68fdf-zcpfugcwgc9wq,Stephen F.,0,383449,0,0
-9vulrfbdsemieggwasatq,Chris,0,134346,0,230
-9ynkdmmzia8m1hhn_r-ma,Sharona,2,377436,0,0
-_a7ae0h02mfbe9l9bveuw,Melissa,0,492022,0,0
-_nh9hcoubekhoyeo_voag,Jay,1,324961,0,248
-_us6c3c4vc3sj1ja-j_7w,Baldemar,0,323348,0,0
-a-czzeam1izgg2ssun87a,Gertie,5,201176,0,0
-a0dd3c4xabx6iahl3mg-w,Jaclyn,0,54132,0,0
-a0pksqh3ox7yskhtulovq,Lisa,1,49769,0,0
-a59uyzwqyo9t9j2wuiniq,Kelly,0,180408,0,0
-akk0vychviaknd4dlfp8a,Bree,2,179178,0,282
-akzkfh_md2-2kassvgrkg,Alan,2,4592,0,284
-anyb0vb5lrw273whytnrw,Celeste,29,17587,17738,289
-arkdzo7km0_xpwl70lmkw,James,10,357567,0,0
-atfnwiaxnt71ijtupwb_g,Sindhura,0,25381,15672,0
-atntgczauronbmu74hzga,Lusine,0,187579,0,0
-atxx_g9w1sxz1rydqusvg,Dave,6,34507,0,0
-ax0lcc7lxugom6r52wvpa,Annie Louisey,1,21044,0,0
-azvfia6mjpdpeepfrbr7g,D,0,96252,0,303
-b-ji6mervuh80-b7fs4zq,Lori,0,296435,0,0
-b3s9pkurtv1dad868ep1a,Anthony,1,84740,0,0
-b6fjupimbr8hvfhvtztka,Matt,0,5331,0,0
-b9-w_zfbosjmssk2z3gwg,Chris,0,23368,0,0
-bgentua9pfrz7kfdx9fhg,Xiao,1,331785,0,0
-bhvyiartwkm7bv1owh4-g,Kirk,1,424325,0,0
-br67wunarjxvuglh1lcog,PathGeek,1,259184,0,342
-bxaeprd7xuaa2u5an0qdw,Garner,0,235221,0,0
-c5j9lbji52hxjur9ampwq,Jaime,0,491850,0,0
-c7mpxoxrm5p9me2mmkl8q,Christina,0,214063,0,0
-cjuomq1gyygndjqncsf3g,April,0,119251,0,0
-ck8nujgjljwdjvq5efroq,Kim,0,406098,0,375
-cn_ipcl8hqdrbjqwosdig,Jarrod,1,402699,0,0
-coidoe9fjdzughhcfxhqg,Sheri,4,382367,0,0
-cus770i5pweq4-tuoerwa,Nomad,2,50705,0,0
-cut3exybjp8wdlwi2n4mq,Trang,24,108370,4228,0
-cvrhcpckhukesdak_fy4g,Jamie,4,296177,17632,0
-d8wcw4dfiwa_yhczylhya,Dan,25,31027,15924,0
-drc3nkefbfx-n68sn-tfw,Jordan,0,79206,0,0
-dwsikb6vzhfctju-lkujg,Robert,0,271996,0,0
-e0rdx6xgus_24vgauy2na,SheLa,1,61534,0,0
-e6ahdtbpafpj63lkvuzra,JC,2,49890,17865,444
-eglqdg8xpbp65jw9y-h0w,Vanessa,1,351673,0,451
-ekq2btr4w9oa3hzthogog,Jacquelyn,0,455545,0,0
-enjza2ckit-zauuqqizfg,Hector,0,278997,0,462
-eollvias3pxam5igyb94g,Rachel,0,125604,0,463
-eri2jhjpk6hhnzbsmzdhq,Lauren,0,409640,0,0
-ex_74ysaqgzcqwirtn1ja,Jenn,1,461563,0,0
-eyhtt60_f20oqfg5fwnfq,Craig,0,106221,0,0
-fhafgpiwxkbjsleoccpca,Joshua,0,378031,0,0
-fhwwz0z6nyopdohcjnc0w,Kayla,0,461827,0,0
-fiaxz8q8wntoankv4j5ig,Michael,0,411195,0,0
-fpwor7t21ufqww0ry_s4a,Lilian,1,99923,0,519
-fq9txcsuc7xruzeudxxhw,Nick,5,403535,13930,0
-fqpzh-e-ubdiilqhybejq,Dottsy,50,13,2520,520
-futninmabzhluhkcc5x7g,Beth And Jason,0,430266,0,0
-fwo3mbi1vjtcn5w0dlrha,H,0,83778,0,0
-fwsdaprfxs_l3kda8snnq,Dave,1,94363,0,0
-g7zkl1wiwbbmd0kry_scw,Gerald,588,27298,4105,539
-gcbrwbpin3jtesabtifbq,Grace,49,181023,13438,0
-gkefg_92pp0q842cls_jw,Jeff,18,46353,11484,558
-gmlg2bmjma4uzkf0nly4a,Alexis,1,389771,0,0
-h12s1cd4bkcuiwxyqeqcq,Heather,0,44917,0,577
-h2as6pdv-16npnr6zpijg,Tila,0,184163,0,0
-he8tysl4in_bq_wsnrboa,Mike,1,25421,0,0
